"No","alp_b","alp_c"
1,0.0153952278823475,0.668693273337558
2,0.012891048326462,0.027349939274136
3,0.0276205984421726,0.414416457139887
4,0.00282859368833946,0.421432963497937
5,0.0234327787031536,0.660322182192467
6,0.0241936990474584,0.866584460514132
7,0.0406220068564219,0.298274730304256
8,0.0185223236510064,0.693308309286367
9,0.0273324641655316,0.251669617409352
10,0.00852139993187738,0.807916374991182
11,0.0312535738872061,0.0940943419467658
12,0.0441094542510016,0.460001964152325
13,0.0140248884603428,0.474452749907505
14,0.0199304101983807,0.899434336754493
15,0.038129928604085,0.463195269771386
16,0.0334543954020389,0.0727508222125471
17,0.0102385619765893,0.673569588544779
18,0.0178826674230932,0.400781285234261
19,0.0179801609912748,0.393980036480352
20,0.0345176235121954,0.533160103117116
21,0.0267951995854103,0.738352550941054
22,0.0355430842331285,0.716010507068131
23,0.0269220514275203,0.0634203379275277
24,0.0374511216210108,0.177535641267896
25,0.0210108715116628,0.188178018310573
26,0.00857929642798612,0.384858659766614
27,0.0385173774721893,0.0659448357135989
28,0.0440988598519005,0.0987475175224245
29,0.0274593445469695,0.140932015795261
30,0.0138934105933737,0.509667644207366
31,0.0244204166438919,0.756022106138989
32,0.0464259686958161,0.687787775774486
33,0.0174411121677561,0.873112388355657
34,0.0477083437986369,0.601359951945487
35,0.0347667542114086,0.864133594855666
36,0.0444737824109267,0.136695117759518
37,0.009028558186437,0.147811086748261
38,0.0314732486130134,0.348810298519675
39,0.0494783111887332,0.177726035045926
40,0.00652314061499201,0.475451715688687
41,0.0165397196802124,0.0628012464521453
42,0.0432573761275061,0.0692796418769285
43,0.0388814461244247,0.842439475534484
44,0.0413668994466681,0.871249361513183
45,0.0301701845808793,0.790568939894438
46,0.0245666787789343,0.580365670220926
47,0.0390201219660509,0.795982594543602
48,0.0442125091006304,0.566555387533735
49,0.010393617751305,0.468403363358229
50,0.0153612239831407,0.524890249290038
51,0.0165331871072017,0.383650316956919
52,0.0099419667203608,0.218062487053685
53,0.0117923581576371,0.974013691586442
54,0.0137515841472894,0.237052488029003
55,0.0295701394735579,0.255618015492801
56,0.0126769987813313,0.0325283971754834
57,0.00618312664721161,0.485623807110824
58,0.0115029952931916,0.385983647629619
59,0.029882788858281,0.552284513923805
60,0.0105783137131063,0.598675120652188
61,0.0231904218925652,0.104383475771174
62,0.0323585886946647,0.129010182283819
63,0.0480290488742292,0.726027898229659
64,0.0338231445971644,0.688376526457723
65,0.0222629496038449,0.157589874337427
66,0.0178951114080823,0.0666291291546077
67,0.0227920154938381,0.124833112743217
68,0.0222762447056174,0.967614156082273
69,0.0122621785328747,0.0428892776183784
70,0.0347205920929462,0.7517980440869
71,0.0206177293851785,0.542922316666227
72,0.0163930161749199,0.388470582985319
73,0.0286325127010862,0.579845950608142
74,0.0483502842319501,0.721523779064883
75,0.0330923333136342,0.644719161584508
76,0.0312386388681643,0.340540867664386
77,0.0428340855997382,0.826598806094844
78,0.0387411966158776,0.755719284615479
79,0.0417030146652437,0.204883995598648
